Tomato_ID,Tomato_position,Blue,Green,Yellow,Orange,Red,NIR,NDVI,GNDVI,RVI,Freshness_,Category
7,4,44.42,41.08,43.44,77.84,105.05,252.03,0.4116,0.7197,2.3992,41.94,Spoiling
7,5,39.4,41.38,47.9,100.45,125.72,175.79,0.1661,0.6189,1.3983,30.01,Spoiling
7,6,30.84,36.3,34.12,105.47,109.34,209.89,0.315,0.7051,1.9196,36.7,Spoiling
7,7,30.76,34.32,25.1,102.9,128.2,146.89,0.0679,0.6212,1.1458,26.42,Spoiling
7,8,26.66,37.46,24.12,130.42,148.22,150.2,0.0066,0.6008,1.0133,23.63,Spoiling
7,9,48.49,46.63,40.56,112.53,124.56,179.26,0.1801,0.5871,1.4392,29.74,Spoiling
7,10,23.99,31.09,28.77,87.4,100.07,232.01,0.3973,0.7637,2.3184,41.27,Spoiling
8,1,42.03,35.71,32.95,116.67,126.94,133.55,0.0254,0.5781,1.0521,23.9,Spoiling
8,2,47.6,40.44,44.64,121.85,147.07,118.8,-0.1063,0.4921,0.8078,18.31,Spoiling
8,3,37.08,35.38,31.69,110,146.06,109.39,-0.1436,0.5112,0.7489,18.38,Spoiling
8,4,23.69,16.5,27.99,113.47,130.61,151.94,0.0755,0.8041,1.1633,29.55,Spoiling
8,5,20.73,22.38,15.9,68.89,75.1,80.87,0.037,0.5665,1.0768,24.27,Spoiling
8,6,23.52,25.15,36.01,108.88,135.63,142.87,0.026,0.7006,1.0533,26.28,Spoiling
8,7,25.19,27.97,31.95,100.4,130.14,106.67,-0.0991,0.5845,0.8197,20.41,Spoiling
8,8,22.21,22.61,21.54,121.94,153.72,117.1,-0.1352,0.6763,0.7618,21.06,Spoiling
8,9,27.03,36.54,28.9,109.38,135.44,128.59,-0.0259,0.5575,0.9494,22.12,Spoiling
8,10,33.56,28.61,23.72,105.05,141.14,108.47,-0.1309,0.5826,0.7685,19.88,Spoiling
9,1,57.16,59.42,64.57,50.26,52.75,511.97,0.8132,0.792,9.7064,71.02,Fresh
9,2,46.96,56.2,53.85,42.62,49.43,478.03,0.8126,0.7896,9.6708,69.64,Fresh
9,3,47.5,52.26,49.11,55.27,67.32,482.67,0.7552,0.8046,7.1694,66.07,Fresh
9,4,65.99,61.97,64.63,28.43,37.63,497.87,0.8595,0.7786,13.2323,74.86,Fresh
9,5,45.95,54.4,52.4,43.57,42.33,444.47,0.8261,0.7819,10.5008,69.09,Fresh
9,6,59.17,55.72,61.55,20.79,42.56,450.52,0.8274,0.7799,10.5846,69.96,Fresh
9,7,48.85,41.42,39.67,72.34,57.43,490.13,0.7902,0.8442,8.534,68.52,Fresh
9,8,49.7,58.44,50.95,53.79,62.2,448.53,0.7564,0.7695,7.2105,64.34,Fresh
9,9,41.26,45.09,42.75,54.53,57.75,478.32,0.7845,0.8277,8.2827,67.89,Fresh
9,10,63.91,68.43,59.33,30.15,25,531.67,0.9102,0.7719,21.2702,83,Fresh
10,1,28.73,32.54,30.56,70.46,84.74,224.77,0.4524,0.747,2.6524,42.91,Aging
10,2,44.46,52.07,57.61,105.22,123.61,211.76,0.2628,0.6053,1.7131,33.63,Aging
10,3,53.97,52.25,45.14,67.04,95.24,226.43,0.4078,0.625,2.3774,39.81,Aging
10,4,33.57,34.87,41.98,95.23,116.98,178.56,0.2084,0.6732,1.5265,32.34,Aging
10,5,22.49,24.51,26.54,63.37,77.97,270.46,0.5524,0.8338,3.4687,49.28,Aging
10,6,31.41,30.89,18.25,114.59,120.06,182.29,0.2058,0.7102,1.5183,32.5,Aging
10,7,33.02,37.72,40,58.67,71.1,261.72,0.5727,0.7481,3.681,48.5,Aging
10,8,38.17,37.1,33.08,73.06,91.77,251.55,0.4654,0.7429,2.7411,44.12,Aging
10,9,33.58,35.58,33.86,89.1,136.16,135.86,-0.0011,0.5849,0.9978,23.89,Aging
10,10,27.94,32.95,35.45,83.74,100.31,265.77,0.452,0.7794,2.6495,44.45,Aging
11,1,41.57,53.39,56.95,57.3,69.6,317.49,0.6404,0.7121,4.5616,52.74,Fresh
11,2,56.75,49.02,59.22,79.74,79.22,314.55,0.5977,0.7304,3.9708,50.71,Fresh
11,3,49.34,57.15,61.15,71.91,83.48,370.58,0.6323,0.7328,4.439,54.49,Fresh
11,4,41.29,42.31,30.25,67.39,85.13,293.64,0.5505,0.7481,3.4493,48.73,Fresh
11,5,51.82,58.32,55.41,62.79,81.9,362.47,0.6314,0.7228,4.4257,54.22,Fresh
11,6,54.26,49.99,59.91,71.64,75.58,287.55,0.5837,0.7038,3.8044,48.97,Fresh
11,7,50.76,54.84,50.6,70.87,82.58,342.65,0.6116,0.7241,4.1495,52.47,Fresh
11,8,57.03,55,56.09,65.67,79.42,384.94,0.658,0.7499,4.8472,56.48,Fresh
11,9,37.08,41.66,36.24,67.95,78.86,337.27,0.621,0.7801,4.277,53.42,Fresh
11,10,40.39,38.67,37.16,81.71,89.7,341.46,0.5839,0.7965,3.8065,52.06,Fresh
12,1,41.28,42.01,39.22,110.91,117.69,193.74,0.2442,0.6436,1.6462,32.99,Spoiling
12,2,31.89,38.66,23.2,111.94,139.98,133.8,-0.0226,0.5516,0.9559,22.13,Spoiling
12,3,32.75,39.99,39.23,118.76,151.67,162.66,0.035,0.6053,1.0724,25.04,Spoiling
12,4,19.35,22.4,13.96,102.16,130.68,170.51,0.1322,0.7678,1.3048,31.23,Spoiling
12,5,24.47,35.4,34.55,101.88,113.52,192.38,0.2578,0.6892,1.6947,34.29,Spoiling
12,6,20.84,28.69,23.77,126.58,139.48,157.3,0.0601,0.6915,1.1278,26.97,Spoiling
12,7,28.1,30.68,33.61,129.18,136.85,215.97,0.2243,0.7512,1.5782,34.19,Spoiling
12,8,19.74,23.66,16.26,95.58,126.97,160.4,0.1163,0.743,1.2633,30.3,Spoiling
12,9,44.33,45.83,47.11,104.52,127.27,108.88,-0.0779,0.4075,0.8554,17.96,Spoiling
12,10,39.46,42.3,45.85,90,112.86,239.76,0.3599,0.7,2.1244,39.3,Spoiling
13,1,57.55,57.47,57.32,110.5,117.1,267.79,0.3915,0.6466,2.2867,40.01,Aging
13,2,30.04,42.54,39.99,78.54,85.29,291.3,0.547,0.7452,3.4154,48.22,Aging
13,3,44.3,49.46,56.25,99.88,121.82,274.17,0.3847,0.6943,2.2506,40.91,Aging
13,4,43.13,50.13,47.23,67.33,82.61,309.31,0.5784,0.7211,3.7441,49.96,Aging
13,5,43.49,33.91,39.96,78.64,93.86,296.29,0.5189,0.7946,3.1568,48.11,Aging
13,6,37.35,41.3,43.11,70.92,77.07,303.29,0.5947,0.7603,3.9352,50.77,Aging
13,7,46.06,46.33,43.87,74.88,81.46,305.93,0.5795,0.737,3.7557,49.91,Aging
13,8,53.44,58.98,45.43,91.62,108.33,172.7,0.229,0.4909,1.5942,30.04,Aging
13,9,29.11,31.82,28.47,67.21,87.89,261.01,0.4962,0.7827,2.9697,46.19,Aging
13,10,55.64,52.7,41.84,83.28,101.66,263.33,0.443,0.6665,2.5904,42.46,Aging
14,1,42.29,49.84,67.42,63.11,113.96,292.42,0.4391,0.7088,2.5659,44.4,Spoiling
14,2,40.05,42.02,42.17,114.16,144.88,163.23,0.0596,0.5905,1.1267,25.7,Spoiling
14,3,45.11,36.53,32.01,85.11,105.12,222.45,0.3582,0.7179,2.1161,39.09,Spoiling
14,4,25.78,30.04,27.23,85.26,113.06,215.36,0.3115,0.7552,1.9048,37.99,Spoiling
14,5,37.92,34.39,43.01,113.88,140.21,183.07,0.1326,0.6837,1.3057,29.85,Spoiling
14,6,10.81,19.3,27.34,89.89,109.34,176.46,0.2348,0.8028,1.6138,35.31,Spoiling
14,7,35.87,33.81,27.3,117.81,147.56,171.52,0.0751,0.6707,1.1624,27.53,Spoiling
14,8,44.14,45.01,46.74,78.28,101.18,199.78,0.3276,0.6322,1.9745,36.29,Spoiling
14,9,29.76,35.19,31.02,86.83,112.92,211.73,0.3044,0.715,1.875,37.01,Spoiling
14,10,53.26,55.54,60.92,62.76,83.75,280.18,0.5397,0.6691,3.3452,46.86,Spoiling
15,1,44.95,48.44,50.84,91.48,125.83,254.98,0.3392,0.6807,2.0264,38.79,Aging
15,2,32.4,38.59,28.94,95.36,97.04,246.47,0.435,0.7293,2.54,42.24,Aging
15,3,48.73,46.36,47.31,73.66,92.25,291.64,0.5194,0.7257,3.1615,47.11,Aging
15,4,46.96,53.94,63.21,89.83,116.79,291.6,0.4281,0.6878,2.4968,43.09,Aging
15,5,31.99,39.99,28.55,86.47,119.44,244.23,0.3431,0.7186,2.0447,39.26,Aging
15,6,38.47,43.05,31.05,93.97,107.05,209.99,0.3247,0.6597,1.9616,36.58,Aging
15,7,41.87,41.77,47.78,106.41,131.29,228.92,0.271,0.6914,1.7436,35.63,Aging
15,8,20.35,22.39,25.28,74.88,107.41,273.73,0.4364,0.8488,2.5484,45.42,Aging
15,9,47.62,46.22,53.18,95.96,112.04,299.81,0.4559,0.7329,2.676,44.8,Aging
15,10,25.83,30.33,33.45,86.54,105.96,229.94,0.3691,0.767,2.1702,40.38,Aging
16,1,65.96,65.97,69.16,26.42,26.8,544.61,0.9062,0.7839,20.3211,83.68,Fresh
16,2,47.17,62.72,45.24,53.31,48.09,522.75,0.8315,0.7857,10.8701,72.82,Fresh
16,3,69.5,81.82,70.41,43.58,30.88,641.46,0.9081,0.7738,20.7714,87.73,Fresh
16,4,54.81,58.25,52.18,26.11,31.95,496.7,0.8791,0.7901,15.544,77.33,Fresh
16,5,65.98,68.3,69.72,29.96,40.84,492.75,0.8469,0.7565,12.0656,73.11,Fresh
16,6,50.69,61.74,61.21,46.25,49.28,479.77,0.8137,0.772,9.7348,69.53,Fresh
16,7,65.36,64.29,61.66,46.59,49.94,505.96,0.8203,0.7745,10.1321,71.21,Fresh
16,8,50.55,66,64.07,28.7,44.68,544.72,0.8484,0.7838,12.1913,75.87,Fresh
16,9,59.73,58.75,60.37,38.59,32.04,511.7,0.8822,0.794,15.9717,78.18,Fresh
16,10,48.64,57.58,55.95,42.81,28.4,526.08,0.8976,0.8027,18.5246,81.24,Fresh
17,1,37.05,46.89,55.95,76.09,75.62,295.77,0.5928,0.7263,3.9111,49.82,Aging
17,2,41.48,48.92,49.06,84.19,101.69,275.84,0.4613,0.6987,2.7126,43.94,Aging
17,3,55.84,54.75,52.28,75.04,77.22,347.58,0.6365,0.7278,4.5014,53.6,Aging
17,4,36.87,45.79,43.83,93.09,110.82,293.6,0.452,0.7302,2.6493,44.48,Aging
17,5,29.1,43.38,46.81,87.86,95.96,269.36,0.4746,0.7226,2.8069,44.41,Aging
17,6,60.47,66.57,67.6,72.25,82.99,347.54,0.6145,0.6785,4.1878,52.18,Aging
17,7,33.23,45.42,48.21,71.62,86.02,291.86,0.5447,0.7307,3.3928,48.12,Aging
17,8,33.71,36.43,29.71,62.04,72.11,302.21,0.6147,0.7848,4.191,52.02,Aging
17,9,30.07,28.05,32.35,26.68,61.99,151.4,0.419,0.6874,2.4425,39.46,Aging
17,10,74.07,71.43,65.59,54.05,60.78,381.31,0.725,0.6845,6.274,58.84,Aging
18,1,43.18,49.26,44.77,26.29,31.26,511.9,0.8849,0.8244,16.3762,79.17,Fresh
18,2,47.57,50.43,48.15,47.4,64.42,458.14,0.7534,0.8017,7.1112,65.09,Fresh
18,3,58.17,65.94,66.38,52.2,63.64,437.74,0.7462,0.7382,6.8787,63.01,Fresh
18,4,78.76,80,63.87,73.58,66.85,551.45,0.7838,0.7466,8.2492,69.77,Fresh
18,5,60.22,53.51,40.65,53.77,59.03,420.78,0.754,0.7744,7.1288,63.07,Fresh
18,6,73.47,79.12,74.39,39.35,32.64,478.81,0.8724,0.7164,14.6687,74.6,Fresh
18,7,54.81,52.66,42.8,43.22,46.12,426.61,0.8049,0.7803,9.2502,66.73,Fresh
18,8,64.99,58.05,58.29,59.27,72.09,401.22,0.6954,0.7472,5.5656,58.91,Fresh
18,9,47.38,60.66,68.36,50.25,68.51,488.94,0.7542,0.7793,7.1372,66.13,Fresh
18,10,64.28,68.38,73.23,41.6,37.61,434.39,0.8406,0.728,11.5487,69.31,Fresh
19,1,34.35,34.21,31.96,79.78,112.18,191.87,0.2621,0.6974,1.7104,35.05,Spoiling
19,2,29.86,35.76,47.08,98.96,123.54,189.8,0.2115,0.6829,1.5364,32.78,Spoiling
19,3,25.48,28.66,32.48,88.75,106.92,169.21,0.2256,0.7103,1.5825,33.36,Spoiling
19,4,11.47,29.25,22.28,84.43,106.34,208.36,0.3242,0.7538,1.9594,38.19,Spoiling
19,5,44.83,41.37,27.39,111.71,143.19,219.26,0.2099,0.6826,1.5312,33.16,Spoiling
19,6,46,47.82,52.97,108.47,132.21,215.73,0.24,0.6371,1.6317,33.42,Spoiling
19,7,34.21,24.58,19.12,93.94,112.94,193.27,0.2623,0.7744,1.7112,35.99,Spoiling
19,8,38.24,39.87,17.46,102.55,132.83,186.32,0.1676,0.6475,1.4027,30.7,Spoiling
19,9,55.02,50.77,52.74,103.72,119.82,205.08,0.2624,0.6031,1.7116,33.43,Spoiling
19,10,31.77,33.61,24.49,102.57,140.41,124.91,-0.0584,0.5759,0.8896,21.56,Spoiling
20,1,57.71,59.45,58.06,36.97,59.47,402.43,0.7425,0.7426,6.7673,61.7,Aging
20,2,54.15,57.9,51.9,56.35,70.99,325.93,0.6423,0.6983,4.5911,53,Aging
20,3,59.28,65.47,70.01,41.88,53.66,435.08,0.7804,0.7384,8.1074,65.08,Aging
20,4,45.22,46.21,36.29,77.05,89.42,305.5,0.5471,0.7372,3.4163,48.68,Aging
20,5,45.32,50,44.86,86.35,93.96,292.04,0.5132,0.7076,3.1081,46.37,Aging
20,6,49.47,62.68,58.38,66.65,85.88,353.89,0.6094,0.6991,4.1209,52.63,Aging
20,7,52.88,58.34,62.01,75.66,101.14,331.54,0.5325,0.7007,3.278,48.69,Aging
20,8,64,61.11,60.61,90.91,102.3,343.27,0.5408,0.6977,3.3556,49.05,Aging
20,9,38.95,49.93,50.41,89.11,84.75,364.57,0.6227,0.7591,4.3015,53.8,Aging
20,10,35.58,37.82,38.25,56.5,61.01,321.46,0.681,0.7895,5.269,55.6,Aging
21,1,39,39.19,34.3,101.7,103.5,149.05,0.1804,0.5836,1.4401,29.18,Spoiling
21,2,34.15,40.28,38.37,96.91,116.55,194.25,0.25,0.6565,1.6666,33.71,Spoiling
21,3,43.14,45.01,43.29,106.75,135.58,172.33,0.1193,0.5858,1.271,27.83,Spoiling
21,4,39.12,37.39,45.95,120.31,134.51,149.53,0.0529,0.5999,1.1116,25.26,Spoiling
21,5,41.64,40.76,40.71,90.15,98.81,178.17,0.2865,0.6276,1.8031,34.05,Spoiling
21,6,51.22,54.91,45.24,81.92,108.57,222.65,0.3444,0.6044,2.0508,37.05,Spoiling
21,7,31.19,33.15,38.32,68.61,61.86,201.08,0.5295,0.7169,3.2504,44.07,Spoiling
21,8,12.26,14.06,15.58,63.59,65.13,138.17,0.3593,0.8152,2.1214,38.68,Spoiling
21,9,48.34,49.09,47.43,82.72,106.16,222.1,0.3532,0.638,2.0921,37.78,Spoiling
21,10,49,56.07,62.78,104.62,121.27,217.85,0.2848,0.5906,1.7965,34.3,Spoiling
22,1,55.88,50.96,46.25,54.46,59.17,470.43,0.7765,0.8045,7.9505,66.81,Fresh
22,2,48.65,54.47,61.42,14.24,19.15,525.33,0.9297,0.8121,27.4334,84.03,Fresh
22,3,46.57,44.96,44.93,45.04,43.5,399.81,0.8037,0.7978,9.1902,65.64,Fresh
22,4,50.3,46.86,45.78,36.37,42.46,443.62,0.8253,0.8089,10.4488,69.46,Fresh
22,5,68.24,63.76,56.9,40.38,43.39,428.77,0.8162,0.7411,9.8828,67.25,Fresh
22,6,61.11,65.26,69.49,40.69,46.45,458.58,0.816,0.7508,9.8723,68.67,Fresh
22,7,63.38,54.31,61.19,65,64.74,444.24,0.7456,0.7821,6.8623,63.45,Fresh
22,8,61.07,60.59,51.76,47.46,58.3,491.03,0.7877,0.7803,8.4225,68.3,Fresh
22,9,50.46,40.17,48.32,21.81,27.61,277,0.8187,0.7467,10.0307,61.12,Fresh
22,10,50.85,55.08,54.5,38.14,30.79,481.91,0.8799,0.7949,15.6523,76.54,Fresh
23,1,27.71,38.09,40.35,99.57,113.22,214.24,0.3085,0.6981,1.8922,36.66,Spoiling
23,2,36.6,39.6,46.64,82.5,86.79,281.06,0.5281,0.753,3.2382,47.2,Spoiling
23,3,44.03,36.54,34.52,95.68,115.27,221.51,0.3155,0.7168,1.9216,37.46,Spoiling
23,4,50.06,53.58,42.03,83.5,121.41,231.68,0.3123,0.6244,1.9082,36.58,Spoiling
23,5,45.75,37.65,25.08,99.46,114.29,169.43,0.1943,0.6364,1.4824,31,Spoiling
23,6,35.45,30.75,36.21,82.93,106.2,201.66,0.3101,0.7354,1.8988,37.31,Spoiling
23,7,33.91,41.75,39.5,95.54,119.47,269.84,0.3863,0.732,2.2588,41.45,Spoiling
23,8,48.22,45.99,29.9,114.71,128.28,197.07,0.2114,0.6216,1.5363,31.65,Spoiling
23,9,26.65,28.45,22.5,78.38,103.54,250.35,0.4148,0.7959,2.4178,43.1,Spoiling
23,10,47.19,46.26,45.19,98.84,128.19,237.9,0.2997,0.6744,1.8559,36.73,Spoiling
24,1,18.21,25.03,33.77,88.98,118,114.6,-0.0146,0.6414,0.9712,24.19,Spoiling
24,2,20.68,20.4,17.79,125.16,167,118.06,-0.1717,0.7053,0.7069,20.98,Spoiling
24,3,18.8,20.83,24.49,108.93,136.14,113.82,-0.0893,0.6906,0.8361,22.38,Spoiling
24,4,21.44,26.19,31.08,116.77,138.14,94.98,-0.1852,0.5677,0.6875,18.69,Spoiling
24,5,26.37,28.92,18.22,118.27,127.46,94.48,-0.1486,0.5313,0.7412,18.45,Spoiling
24,6,26.11,28.11,36.76,111.26,142.06,78.65,-0.2873,0.4734,0.5537,16.02,Spoiling
24,7,29.98,33.98,23.91,110.01,146.5,118,-0.1078,0.5528,0.8054,19.58,Spoiling
24,8,26.13,31.45,29.66,112.31,143.28,103.89,-0.1594,0.5352,0.7251,18.53,Spoiling
24,9,37.96,34.4,23.5,135.01,158.52,83.21,-0.3115,0.415,0.5249,14.04,Spoiling
24,10,23.4,30.86,36.93,123.93,145.34,98.17,-0.1937,0.5216,0.6754,17.6,Spoiling
25,1,43.41,43.91,37.5,137.12,152.49,112.74,-0.1499,0.4394,0.7394,16.48,Spoiling
25,2,35.66,42.41,35.46,123.25,146.6,152.22,0.0188,0.5642,1.0383,23.61,Spoiling
25,3,25.24,23.65,28.58,110.32,128.15,108.9,-0.0812,0.6431,0.8498,21.74,Spoiling
25,4,28.68,33.22,29.91,114.45,151.61,126.95,-0.0885,0.5851,0.8373,20.53,Spoiling
25,5,29.7,41.19,39.41,120.16,132.91,159.82,0.0919,0.5902,1.2025,26.49,Spoiling
25,6,46.13,42.07,48.86,129.42,144.26,141.73,-0.0089,0.5422,0.9824,22.1,Spoiling
25,7,16.55,20.94,14.56,117.71,139.28,116.76,-0.0879,0.6959,0.8383,22.32,Spoiling
25,8,37.04,29.17,39.18,103.97,131.41,135.55,0.0155,0.6458,1.0315,25.06,Spoiling
25,9,39.08,34.93,30.85,131.27,145.55,84.49,-0.2654,0.415,0.5805,14.75,Spoiling
25,10,25.03,38.25,40.14,85.24,118.94,140.53,0.0832,0.5721,1.1816,26.36,Spoiling
26,1,62.86,64.2,53.16,19.2,41.6,396.27,0.81,0.7211,9.5259,65.6,Fresh
26,2,62.14,66.65,74.94,42.72,45.24,440.17,0.8136,0.737,9.7294,67.47,Fresh
26,3,71.42,60.78,63.03,37.95,45.78,463.69,0.8203,0.7682,10.1286,69.47,Fresh
26,4,57.51,67.4,59.36,45.77,30.42,506.31,0.8867,0.765,16.645,78.13,Fresh
26,5,48.26,50.37,51.19,52.07,67.9,413.86,0.7181,0.783,6.095,61.09,Fresh
26,6,56.12,65.27,64.74,44.85,51.83,416.44,0.7786,0.729,8.0347,63.98,Fresh
26,7,43.38,53.93,60.27,49.61,54.04,400.97,0.7624,0.7629,7.4192,62.65,Fresh
26,8,48.87,48.86,42.76,48.12,53.39,489.56,0.8033,0.8185,9.1703,69.66,Fresh
26,9,70.87,65.22,62.59,60.28,55.01,444.19,0.7796,0.7439,8.0743,65.07,Fresh
26,10,52.16,45.48,42.09,41.7,53.37,389.91,0.7592,0.7911,7.3051,62.52,Fresh
27,1,40.78,34.11,20.8,58.89,82.78,266.34,0.5258,0.7729,3.2176,47.42,Aging
27,2,55.8,49.89,47.6,69.07,76.6,320.36,0.6141,0.7305,4.182,51.81,Aging
27,3,41.52,39.1,33.53,74.42,91.08,319.54,0.5564,0.782,3.5083,50.2,Aging
27,4,36.79,43.74,38.55,66.5,112.83,246.85,0.3726,0.699,2.1878,40.46,Aging
27,5,47.6,50.77,43.63,84.72,103.63,281.04,0.4612,0.694,2.7119,44.05,Aging
27,6,32.09,36.38,23.2,76.44,81.01,325.48,0.6014,0.7989,4.0177,52.28,Aging
27,7,23.27,29.85,25.51,77.41,96.84,286.66,0.495,0.8114,2.9601,47.22,Aging
